"","SYMBOL","GENEID"
"169","CAMK2A","ENSG00000070808"
"170","S100A9","ENSG00000163220"
"171","PSMA8","ENSG00000154611"
"172","LRP5","ENSG00000162337"
"173","ZYG11A","ENSG00000203995"
"174","INSR","ENSG00000171105"
"175","T","ENSG00000164458"
"176","ZFP37","ENSG00000136866"
"177","PLIN5","ENSG00000214456"
"178","TSPAN13","ENSG00000106537"
"179","VIPR1","ENSG00000114812"
"180","ARSI","ENSG00000183876"
"181","SLC16A9","ENSG00000165449"
"182","pk","ENSG00000091436"
"183","ST6GALNAC3","ENSG00000184005"
"184","AMICA1","ENSG00000160593"
"185","CRMP1","ENSG00000072832"
"186","SH3BP4","ENSG00000130147"
"187","APP","ENSG00000142192"
"188","KLK4","ENSG00000167749"
"189","RGS7","ENSG00000182901"
"190","MAPK4","ENSG00000141639"
"191","DAB2IP","ENSG00000136848"
"192","NR4A3","ENSG00000119508"
"193","TRPM4","ENSG00000130529"
"194","IL1B","ENSG00000125538"
"195","DMD","ENSG00000198947"
"196","SLC4A10","ENSG00000144290"
"197","SLCO5A1","ENSG00000137571"
"198","FRMD4B","ENSG00000114541"
"199","RUSC2","ENSG00000198853"
"200","FCN1","ENSG00000085265"
"201","PLEKHG4B","ENSG00000153404"
"202","SLC12A7","ENSG00000113504"
"203","HOXB2","ENSG00000173917"
"204","ITPRIPL2","ENSG00000205730"
"205","CCL28","ENSG00000151882"
"206","PRICKLE2","ENSG00000163637"
"207","PHYHD1","ENSG00000175287"
"208","PON2","ENSG00000105854"
"209","KCNG1","ENSG00000026559"
"210","GPM6A","ENSG00000150625"
"211","RASD1","ENSG00000108551"
"212","GLUL","ENSG00000135821"
"213","THRB","ENSG00000151090"
"214","LYZ","ENSG00000090382"
"215","STK33","ENSG00000130413"
"216","PLA2G2D","ENSG00000117215"
"217","BEGAIN","ENSG00000183092"
"218","ZNF215","ENSG00000149054"
"219","S100A8","ENSG00000143546"
"220","CERKL","ENSG00000188452"
"221","CLDN1","ENSG00000163347"
"222","ZFP28","ENSG00000196867"
"223","JUP","ENSG00000173801"
"224","P2RY14","ENSG00000174944"
"225","FADS2","ENSG00000134824"
"226","PHEX","ENSG00000102174"
"227","SMIM10","ENSG00000184785"
"228","HCK","ENSG00000101336"
"229","MAP6","ENSG00000171533"
"230","PTH2R","ENSG00000144407"
"231","KLF4","ENSG00000136826"
"232","BAMBI","ENSG00000095739"
"233","FCRL3","ENSG00000160856"
"234","ARSD","ENSG00000006756"
"235","FGF2","ENSG00000138685"
"236","SDK2","ENSG00000069188"
"237","ENOSF1","ENSG00000132199"
"238","ITGA4","ENSG00000115232"
"239","RASAL1","ENSG00000111344"
"240","EGR1","ENSG00000120738"
"241","MYO5B","ENSG00000167306"
"242","AASS","ENSG00000008311"
"243","ATAD3C","ENSG00000215915"
"244","TMEM136","ENSG00000181264"
"245","SLC5A5","ENSG00000105641"
"246","LDLRAD2","ENSG00000187942"
"247","ESPNL","ENSG00000144488"
"248","ZNF334","ENSG00000198185"
"249","KCTD3","ENSG00000136636"
"250","RGPD1","ENSG00000187627"
"251","CR1","ENSG00000203710"
"252","KBTBD12","ENSG00000187715"
"253","SHISA3","ENSG00000178343"
"254","GLDN","ENSG00000186417"
"255","PRSS21","ENSG00000007038"
"256","G0S2","ENSG00000123689"
"257","EGLN3","ENSG00000129521"
"258","FHL1","ENSG00000022267"
"259","TNFRSF21","ENSG00000146072"
"260","TNFRSF19","ENSG00000127863"
"261","RBM11","ENSG00000185272"
"262","HIST1H1D","ENSG00000124575"
"263","AXIN2","ENSG00000168646"
"264","SNCAIP","ENSG00000064692"
"265","PTPRQ","ENSG00000139304"
"266","DFNA5","ENSG00000105928"
"267","LGSN","ENSG00000146166"
"268","VCAN","ENSG00000038427"
"269","SGCE","ENSG00000127990"
"270","DGKH","ENSG00000102780"
"271","BMP3","ENSG00000152785"
"272","NSUN7","ENSG00000179299"
"273","MRC2","ENSG00000011028"
"274","C10orf35","ENSG00000171224"
"275","BACE2","ENSG00000182240"
"276","FLT3","ENSG00000122025"
"277","KIAA1598","ENSG00000187164"
"278","AKAP6","ENSG00000151320"
"279","ZNF883","ENSG00000228623"
"280","EPB41L2","ENSG00000079819"
"281","SDC3","ENSG00000162512"
"282","HRK","ENSG00000135116"
"283","HBD","ENSG00000223609"
"284","CPNE8","ENSG00000139117"
"285","GRB7","ENSG00000141738"
"286","KLK2","ENSG00000167751"
"287","FBXO27","ENSG00000161243"
"288","CD300E","ENSG00000186407"
"289","LAG3","ENSG00000089692"
"290","DCLK2","ENSG00000170390"
"291","PTMS","ENSG00000159335"
"292","NUP62CL","ENSG00000198088"
"293","AHR","ENSG00000106546"
"294","DPF3","ENSG00000205683"
"295","SLC2A5","ENSG00000142583"
"296","WNT5A","ENSG00000114251"
"297","FAM84B","ENSG00000168672"
"298","CLLU1OS","ENSG00000205057"
"299","CECR2","ENSG00000099954"
"300","LARGE","ENSG00000133424"
"301","WSCD2","ENSG00000075035"
"302","THBS1","ENSG00000137801"
"303","MAFB","ENSG00000204103"
"304","ARHGEF11","ENSG00000132694"
"305","UGGT2","ENSG00000102595"
"306","TCEA3","ENSG00000204219"
"307","OCLN","ENSG00000197822"
"308","KCNK9","ENSG00000169427"
"309","FGFR1","ENSG00000077782"
"310","TRIO","ENSG00000038382"
"311","ENPP2","ENSG00000136960"
"312","GRASP","ENSG00000161835"
"313","GRIN2B","ENSG00000273079"
"314","SERPINB6","ENSG00000124570"
"315","WNT5B","ENSG00000111186"
"316","CDHR1","ENSG00000148600"
"317","PTP4A3","ENSG00000184489"
"318","USP6","ENSG00000129204"
"319","KLRK1","ENSG00000213809"
"320","MYADM","ENSG00000179820"
"321","NEU4","ENSG00000204099"
"322","SLAMF1","ENSG00000117090"
"323","CSF3R","ENSG00000119535"
"324","TNFAIP2","ENSG00000185215"
"325","DUSP26","ENSG00000133878"
"326","SERPINA1","ENSG00000197249"
"327","ARHGAP22","ENSG00000128805"
"328","AREG","ENSG00000109321"
"329","CAV1","ENSG00000105974"
"330","DPYD","ENSG00000188641"
"331","C11orf85","ENSG00000168070"
"332","UACA","ENSG00000137831"
"333","TRPC1","ENSG00000144935"
"334","UBXN10","ENSG00000162543"
"335","NINL","ENSG00000101004"
"336","CAMK4","ENSG00000152495"
"337","PNMAL1","ENSG00000182013"
"338","PLAUR","ENSG00000011422"
"339","CNN3","ENSG00000117519"
"340","ARL4A","ENSG00000122644"
"341","WNT7B","ENSG00000188064"
"342","MERTK","ENSG00000153208"
"343","TRPS1","ENSG00000104447"
"344","KBTBD11","ENSG00000176595"
"345","SMARCA1","ENSG00000102038"
"346","CCDC152","ENSG00000198865"
"347","RSPO1","ENSG00000169218"
"348","TRIQK","ENSG00000205133"
"349","SIGLEC6","ENSG00000105492"
"350","EML6","ENSG00000214595"
"351","DAZL","ENSG00000092345"
"352","CTLA4","ENSG00000163599"
"353","LRRC75B","ENSG00000178026"
"354","CORO2B","ENSG00000103647"
"355","TOX2","ENSG00000124191"
"356","MYL9","ENSG00000101335"
"357","HLA-DQB2","ENSG00000232629"
"358","HDAC9","ENSG00000048052"
"359","ATF3","ENSG00000162772"
"360","TGFBI","ENSG00000120708"
"361","GTSF1L","ENSG00000124196"
"362","LHFP","ENSG00000183722"
"363","PRELID2","ENSG00000186314"
"364","FPR1","ENSG00000171051"
"365","PHGDH","ENSG00000092621"
"366","TANC2","ENSG00000170921"
"367","TGFB2","ENSG00000092969"
"368","SCML4","ENSG00000146285"
"369","SFMBT2","ENSG00000198879"
"370","HIST1H3D","ENSG00000197409"
"371","TP73","ENSG00000078900"
"372","KCNJ2","ENSG00000123700"
"373","MNDA","ENSG00000163563"
"374","GRM3","ENSG00000198822"
"375","FAM49A","ENSG00000197872"
"376","COL4A4","ENSG00000081052"
"377","CD1C","ENSG00000158481"
"378","NXPH4","ENSG00000182379"
"379","JADE3","ENSG00000102221"
"380","PARM1","ENSG00000169116"
"381","KLK1","ENSG00000167748"
"382","RASAL2","ENSG00000075391"
"383","PTPRS","ENSG00000105426"
"384","DIRAS1","ENSG00000176490"
"385","MPP7","ENSG00000150054"
"386","TCERG1L","ENSG00000176769"
"387","COCH","ENSG00000100473"
"388","SLC2A14","ENSG00000173262"
"389","IL10","ENSG00000136634"
"390","DOK7","ENSG00000175920"
"391","SPRY2","ENSG00000136158"
"392","RGS16","ENSG00000143333"
"393","ADAMTS7","ENSG00000136378"
"394","LATS2","ENSG00000150457"
"395","HOMER3","ENSG00000051128"
"396","CST3","ENSG00000101439"
"397","IL18","ENSG00000150782"
"398","CARD6","ENSG00000132357"
"399","TUBB6","ENSG00000176014"
"400","GPRIN3","ENSG00000185477"
"401","CSGALNACT1","ENSG00000147408"
"402","EDA2R","ENSG00000131080"
"403","MAP7D2","ENSG00000184368"
"404","LCN15","ENSG00000177984"
"405","HSPA12A","ENSG00000165868"
"406","YES1","ENSG00000176105"
"407","ENAM","ENSG00000132464"
"408","LMNA","ENSG00000160789"
"409","PIEZO2","ENSG00000154864"
"410","TNF","ENSG00000232810"
"411","SLC22A17","ENSG00000092096"
"412","FAM213A","ENSG00000122378"
"413","SEMA3D","ENSG00000153993"
"414","BMP6","ENSG00000153162"
"415","FZD6","ENSG00000164930"
"416","BEX2","ENSG00000133134"
"417","ANPEP","ENSG00000166825"
"418","C10orf128","ENSG00000204161"
"419","CXCL2","ENSG00000081041"
"420","DPY19L2","ENSG00000177990"
"421","GTF2IRD1","ENSG00000006704"
"422","TMEM211","ENSG00000206069"
"423","PTGS2","ENSG00000073756"
"424","CTTNBP2NL","ENSG00000143079"
"425","PRKG2","ENSG00000138669"
"426","ADD2","ENSG00000075340"
"427","UST","ENSG00000111962"
"428","VSIG2","ENSG00000019102"
"429","GRIK4","ENSG00000149403"
"430","DTX1","ENSG00000135144"
"431","XK","ENSG00000047597"
"432","KHDRBS3","ENSG00000131773"
"433","SLC4A1","ENSG00000004939"
"434","CD93","ENSG00000125810"
"435","RAB32","ENSG00000118508"
"436","C3orf14","ENSG00000114405"
"437","CDK6","ENSG00000105810"
"438","PDGFA","ENSG00000197461"
"439","CLIP4","ENSG00000115295"
"440","KLF3","ENSG00000109787"
"441","GPHN","ENSG00000171723"
"442","RAB34","ENSG00000109113"
"443","LAMC3","ENSG00000050555"
"444","EPHX2","ENSG00000120915"
"445","AIRE","ENSG00000160224"
"446","KALRN","ENSG00000160145"
"447","FARP1","ENSG00000152767"
"448","ZNF492","ENSG00000229676"
"449","SMPDL3A","ENSG00000172594"
"450","ALDH7A1","ENSG00000164904"
"451","SORL1","ENSG00000137642"
"452","MYOM2","ENSG00000036448"
"453","SNCA","ENSG00000145335"
"454","FAM167A","ENSG00000154319"
"455","PCDHGB2","ENSG00000253910"
"456","CHL1","ENSG00000134121"
"457","CPVL","ENSG00000106066"
"458","IQGAP2","ENSG00000145703"
"459","RGS1","ENSG00000090104"
"460","DRP2","ENSG00000102385"
"461","MID2","ENSG00000080561"
"462","MRO","ENSG00000134042"
"463","HOXB3","ENSG00000120093"
"464","TRIM2","ENSG00000109654"
"465","MACC1","ENSG00000183742"
"466","GPR34","ENSG00000171659"
"467","DIP2C","ENSG00000151240"
"468","GRAMD1B","ENSG00000023171"
"469","NYAP2","ENSG00000144460"
"470","EPHA4","ENSG00000116106"
"471","LCN10","ENSG00000187922"
"472","TLE6","ENSG00000104953"
"473","CDC42BPB","ENSG00000198752"
"474","PM20D1","ENSG00000162877"
"475","GNG8","ENSG00000167414"
"476","VPS37B","ENSG00000139722"
"477","DPEP1","ENSG00000015413"
"478","CD300C","ENSG00000167850"
"479","NEO1","ENSG00000067141"
"480","PXDNL","ENSG00000147485"
"481","CABLES1","ENSG00000134508"
"482","RNF175","ENSG00000145428"
"483","PTPRG","ENSG00000144724"
"484","HES1","ENSG00000114315"
"485","MAST4","ENSG00000069020"
"486","KCTD15","ENSG00000153885"
"487","SYNPO","ENSG00000171992"
"488","PHLPP1","ENSG00000081913"
"489","HIST3H2A","ENSG00000181218"
"490","CD70","ENSG00000125726"
"491","CD80","ENSG00000121594"
"492","ARHGAP39","ENSG00000147799"
"493","MKRN3","ENSG00000179455"
"494","BHLHE41","ENSG00000123095"
"495","HHIPL1","ENSG00000182218"
"496","FXYD6","ENSG00000137726"
"497","AQP9","ENSG00000103569"
"498","IL17REL","ENSG00000188263"
"499","TUFT1","ENSG00000143367"
"500","IRS2","ENSG00000185950"
"501","PLA2G16","ENSG00000176485"
"502","ENPP3","ENSG00000154269"
"503","FCAR","ENSG00000186431"
"504","SAMSN1","ENSG00000155307"
"505","LTBR","ENSG00000111321"
"506","VANGL2","ENSG00000162738"
"507","KIFC3","ENSG00000140859"
"508","ZDHHC19","ENSG00000163958"
"509","SOX11","ENSG00000176887"
"510","MAP3K7CL","ENSG00000156265"
"511","PON1","ENSG00000005421"
"512","PMEPA1","ENSG00000124225"
"513","ADM","ENSG00000148926"
"514","PTRF","ENSG00000177469"
"515","DSCAML1","ENSG00000177103"
"516","AGPAT4","ENSG00000026652"
"517","TRPM2","ENSG00000142185"
"518","ITGAD","ENSG00000156886"
"519","DPP4","ENSG00000197635"
"520","SLC2A3","ENSG00000059804"
"521","ICOS","ENSG00000163600"
"522","ARHGAP32","ENSG00000134909"
"523","NRIP1","ENSG00000180530"
"524","DLG2","ENSG00000150672"
"525","TMEM176A","ENSG00000002933"
"526","SSH3","ENSG00000172830"
"527","CLEC7A","ENSG00000172243"
"528","IL7R","ENSG00000168685"
"529","CD96","ENSG00000153283"
"530","CCR1","ENSG00000163823"
"531","PLD4","ENSG00000166428"
"532","ZNF469","ENSG00000225614"
"533","IGSF22","ENSG00000179057"
"534","PDGFD","ENSG00000170962"
"535","TMEM176B","ENSG00000106565"
"536","CDKN2C","ENSG00000123080"
"537","CRYM","ENSG00000103316"
"538","FOSB","ENSG00000125740"
"539","COL1A2","ENSG00000164692"
"540","LPIN3","ENSG00000132793"
"541","WNT3","ENSG00000108379"
"542","GNLY","ENSG00000115523"
"543","STOX1","ENSG00000165730"
