"","SYMBOL","GENEID"
"740","FAM20C","ENSG00000177706"
"741","CTTN","ENSG00000085733"
"742","TLR4","ENSG00000136869"
"743","CD4","ENSG00000010610"
"744","EPB41L5","ENSG00000115109"
"745","SPON2","ENSG00000159674"
"746","UNC13B","ENSG00000198722"
"747","RNF144B","ENSG00000137393"
"748","FBN1","ENSG00000166147"
"749","EIF5A2","ENSG00000163577"
"750","FAM46A","ENSG00000112773"
"751","BARX2","ENSG00000043039"
"752","ITPKA","ENSG00000137825"
"753","NREP","ENSG00000134986"
"754","CSF1","ENSG00000184371"
"755","RAB20","ENSG00000139832"
"756","AHSP","ENSG00000169877"
"757","CHRFAM7A","ENSG00000166664"
"758","DOCK5","ENSG00000147459"
"759","RHD","ENSG00000187010"
"760","ETNK2","ENSG00000143845"
"761","NUDT10","ENSG00000122824"
"762","NTNG1","ENSG00000162631"
"763","HBG2","ENSG00000196565"
"764","SLC29A4","ENSG00000164638"
"765","PPAPDC3","ENSG00000160539"
"766","CHST6","ENSG00000183196"
"767","SOCS6","ENSG00000170677"
"768","COL6A2","ENSG00000142173"
"769","MVB12B","ENSG00000196814"
"770","CADM2","ENSG00000175161"
"771","KSR2","ENSG00000171435"
"772","PDGFB","ENSG00000100311"
"773","SMAD3","ENSG00000166949"
"774","RGL3","ENSG00000205517"
"775","SLC7A5","ENSG00000103257"
"776","ACPP","ENSG00000014257"
"777","TYROBP","ENSG00000011600"
"778","PINLYP","ENSG00000234465"
"779","SH3PXD2A","ENSG00000107957"
"780","TCF7","ENSG00000081059"
"781","TFCP2L1","ENSG00000115112"
"782","CLEC9A","ENSG00000197992"
"783","CLEC4E","ENSG00000166523"
"784","PELI2","ENSG00000139946"
"785","DUSP6","ENSG00000139318"
"786","ULK2","ENSG00000083290"
"787","PADI4","ENSG00000159339"
"788","SLC9C1","ENSG00000172139"
"789","DCBLD1","ENSG00000164465"
"790","SH3RF1","ENSG00000154447"
"791","RTKN","ENSG00000114993"
"792","CHRNA7","ENSG00000175344"
"793","ACKR3","ENSG00000144476"
"794","CD163","ENSG00000177575"
"795","LAPTM4B","ENSG00000104341"
"796","STAB1","ENSG00000010327"
"797","NGFR","ENSG00000064300"
"798","SIRPA","ENSG00000198053"
"799","IL22","ENSG00000127318"
"800","FAM106A","ENSG00000213077"
"801","LGALS2","ENSG00000100079"
"802","CMTM7","ENSG00000153551"
"803","ANKRD20A4","ENSG00000172014"
"804","ANGPT2","ENSG00000091879"
"805","FADS1","ENSG00000149485"
"806","GNAZ","ENSG00000128266"
"807","EFNA2","ENSG00000099617"
"808","PIK3R5","ENSG00000141506"
"809","CEBPD","ENSG00000221869"
"810","CCR4","ENSG00000183813"
"811","PLXDC2","ENSG00000120594"
"812","MATK","ENSG00000007264"
"813","NKG7","ENSG00000105374"
"814","ZSWIM5","ENSG00000162415"
"815","B3GAT1","ENSG00000109956"
"816","FCRL6","ENSG00000181036"
"817","SCML2","ENSG00000102098"
"818","RAB36","ENSG00000100228"
"819","PNMA6A","ENSG00000235961"
"820","CLEC4G","ENSG00000182566"
"821","AKT3","ENSG00000117020"
"822","GIMAP5","ENSG00000196329"
"823","KLRD1","ENSG00000134539"
"824","DNAH6","ENSG00000115423"
"825","DMTN","ENSG00000158856"
"826","FCER1G","ENSG00000158869"
"827","PLEKHG3","ENSG00000126822"
"828","GIMAP4","ENSG00000133574"
"829","DAPK1","ENSG00000196730"
"830","MBOAT1","ENSG00000172197"
"831","FCRL2","ENSG00000132704"
"832","SCN8A","ENSG00000196876"
"833","TNFRSF25","ENSG00000215788"
"834","PCDHGB6","ENSG00000253305"
"835","ABCB1","ENSG00000085563"
"836","MGLL","ENSG00000074416"
"837","SIGLEC14","ENSG00000254415"
"838","FBLN2","ENSG00000163520"
"839","IL1RN","ENSG00000136689"
"840","PSTPIP2","ENSG00000152229"
"841","ANXA1","ENSG00000135046"
"842","CSTA","ENSG00000121552"
"843","DNAJA4","ENSG00000140403"
"844","GDPD5","ENSG00000158555"
"845","LAMC1","ENSG00000135862"
"846","ADAMTS10","ENSG00000142303"
"847","PLEKHA1","ENSG00000107679"
"848","CD2","ENSG00000116824"
"849","IRAK3","ENSG00000090376"
"850","DPPA3","ENSG00000187569"
"851","RGS11","ENSG00000076344"
"852","GZMA","ENSG00000145649"
"853","SERPINB2","ENSG00000197632"
"854","AGAP4","ENSG00000188234"
"855","C1orf106","ENSG00000163362"
"856","GSTM3","ENSG00000134202"
"857","TLE2","ENSG00000065717"
"858","DLEU1","ENSG00000176124"
"859","OAF","ENSG00000184232"
"860","PLA2G2C","ENSG00000187980"
"861","SORT1","ENSG00000134243"
"862","NELL2","ENSG00000184613"
"863","PTGER2","ENSG00000125384"
"864","LYZL4","ENSG00000157093"
"865","E2F7","ENSG00000165891"
"866","POMGNT2","ENSG00000144647"
"867","ZNF578","ENSG00000258405"
"868","OTOGL","ENSG00000165899"
"869","TRIM58","ENSG00000162722"
"870","BCL11B","ENSG00000127152"
"871","GPR25","ENSG00000170128"
"872","GAD2","ENSG00000136750"
"873","RASD2","ENSG00000100302"
"874","THBD","ENSG00000178726"
"875","SGMS2","ENSG00000164023"
"876","LILRA5","ENSG00000187116"
"877","VENTX","ENSG00000151650"
"878","ZDHHC15","ENSG00000102383"
"879","KRT18","ENSG00000111057"
"880","KL","ENSG00000133116"
"881","MAP4K4","ENSG00000071054"
"882","CD300A","ENSG00000167851"
"883","EMP1","ENSG00000134531"
"884","GLYATL2","ENSG00000156689"
"885","MFAP3L","ENSG00000198948"
"886","SLC19A1","ENSG00000173638"
"887","ODF3L1","ENSG00000182950"
"888","CPA5","ENSG00000158525"
"889","DNAH3","ENSG00000158486"
"890","DNASE1L3","ENSG00000163687"
"891","PDZD4","ENSG00000067840"
"892","SPATA18","ENSG00000163071"
"893","PRSS23","ENSG00000150687"
"894","UGT2B15","ENSG00000196620"
"895","FUT8","ENSG00000033170"
"896","MYT1","ENSG00000196132"
"897","GIMAP7","ENSG00000179144"
"898","HBM","ENSG00000206177"
"899","NBPF3","ENSG00000142794"
"900","FAM129A","ENSG00000135842"
"901","CD3D","ENSG00000167286"
"902","SNED1","ENSG00000162804"
"903","ERVV-1","ENSG00000269526"
"904","MTMR11","ENSG00000014914"
"905","VSIG1","ENSG00000101842"
"906","HIST1H1B","ENSG00000184357"
"907","TBXAS1","ENSG00000059377"
"908","C1orf21","ENSG00000116667"
"909","PDE4D","ENSG00000113448"
"910","ZNF391","ENSG00000124613"
"911","PPBP","ENSG00000163736"
"912","KLHL30","ENSG00000168427"
"913","KLF7","ENSG00000118263"
"914","SAMD7","ENSG00000187033"
"915","DLL1","ENSG00000198719"
"916","MYO6","ENSG00000196586"
"917","HOXB4","ENSG00000182742"
"918","GIMAP8","ENSG00000171115"
"919","TM6SF1","ENSG00000136404"
"920","SNAP25","ENSG00000132639"
"921","ANKEF1","ENSG00000132623"
"922","CST7","ENSG00000077984"
"923","EYA2","ENSG00000064655"
"924","SCD","ENSG00000099194"
"925","RCAN2","ENSG00000172348"
"926","GNB4","ENSG00000114450"
"927","TBKBP1","ENSG00000198933"
"928","ZNF135","ENSG00000176293"
"929","B3GNT7","ENSG00000156966"
"930","CACNA1D","ENSG00000157388"
"931","FOSL2","ENSG00000075426"
"932","HIP1","ENSG00000127946"
"933","PRRG4","ENSG00000135378"
"934","FOXJ1","ENSG00000129654"
"935","MFGE8","ENSG00000140545"
"936","CD247","ENSG00000198821"
"937","CLCF1","ENSG00000175505"
"938","CHDH","ENSG00000016391"
"939","GATA3","ENSG00000107485"
"940","ID2","ENSG00000115738"
"941","PRKCH","ENSG00000027075"
"942","CACNB2","ENSG00000165995"
"943","DBNDD1","ENSG00000003249"
"944","SERPINE2","ENSG00000135919"
"945","FGD4","ENSG00000139132"
"946","GIPR","ENSG00000010310"
"947","IL12B","ENSG00000113302"
"948","CDCP1","ENSG00000163814"
"949","EID3","ENSG00000255150"
"950","PHYHIP","ENSG00000168490"
"951","IPCEF1","ENSG00000074706"
"952","HCN2","ENSG00000099822"
"953","QPCT","ENSG00000115828"
"954","GNG7","ENSG00000176533"
"955","SLC40A1","ENSG00000138449"
"956","IL17RB","ENSG00000056736"
"957","TEX14","ENSG00000121101"
"958","ITK","ENSG00000113263"
"959","KCNH8","ENSG00000183960"
"960","PLBD1","ENSG00000121316"
"961","MB21D2","ENSG00000180611"
"962","FOXC1","ENSG00000054598"
"963","LDHC","ENSG00000166796"
"964","PALD1","ENSG00000107719"
"965","PAM","ENSG00000145730"
"966","GNAQ","ENSG00000156052"
"967","TNIK","ENSG00000154310"
"968","SDK1","ENSG00000146555"
"969","ADM2","ENSG00000128165"
"970","NRG1","ENSG00000157168"
"971","HOOK1","ENSG00000134709"
"972","GADD45G","ENSG00000130222"
"973","ARHGAP21","ENSG00000107863"
"974","IQSEC3","ENSG00000120645"
"975","ID1","ENSG00000125968"
"976","DENND3","ENSG00000105339"
"977","OASL","ENSG00000135114"
"978","IFIT3","ENSG00000119917"
"979","EXPH5","ENSG00000110723"
"980","CHGB","ENSG00000089199"
"981","GLB1L2","ENSG00000149328"
"982","LTK","ENSG00000062524"
"983","TRIM61","ENSG00000183439"
"984","RNASE6","ENSG00000169413"
"985","GRHL1","ENSG00000134317"
"986","HBEGF","ENSG00000113070"
"987","MAL","ENSG00000172005"
"988","SMOC1","ENSG00000198732"
"989","PTGS1","ENSG00000095303"
"990","RPP25","ENSG00000178718"
"991","MANSC1","ENSG00000111261"
"992","CREG2","ENSG00000175874"
"993","FYB","ENSG00000082074"
"994","FSCN1","ENSG00000075618"
"995","COL5A3","ENSG00000080573"
"996","CPXM1","ENSG00000088882"
"997","SH2D1B","ENSG00000198574"
"998","FZD7","ENSG00000155760"
"999","PRKCQ","ENSG00000065675"
"1000","NTN4","ENSG00000074527"
"1001","VSIG10","ENSG00000176834"
"1002","S1PR1","ENSG00000170989"
"1003","SNAI1","ENSG00000124216"
"1004","CCDC144NL","ENSG00000205212"
"1005","ROBO3","ENSG00000154134"
"1006","IL18RAP","ENSG00000115607"
"1007","EEF1A2","ENSG00000101210"
"1008","APOL4","ENSG00000100336"
"1009","ASGR2","ENSG00000161944"
"1010","IL6","ENSG00000136244"
"1011","AP3B2","ENSG00000103723"
"1012","FCRL1","ENSG00000163534"
"1013","TMEM56","ENSG00000152078"
"1014","SLC9A3R2","ENSG00000065054"
"1015","GLCE","ENSG00000138604"
"1016","ADAMDEC1","ENSG00000134028"
"1017","CD28","ENSG00000178562"
"1018","TYMS","ENSG00000176890"
"1019","EOMES","ENSG00000163508"
"1020","MEGF9","ENSG00000106780"
"1021","TNS3","ENSG00000136205"
"1022","PCDHGA7","ENSG00000253537"
"1023","ZNF835","ENSG00000127903"
"1024","TPST1","ENSG00000169902"
"1025","RNF144A","ENSG00000151692"
"1026","NEDD4","ENSG00000069869"
"1027","FAIM2","ENSG00000135472"
"1028","CD33","ENSG00000105383"
"1029","KRT72","ENSG00000170486"
"1030","SGK1","ENSG00000118515"
"1031","PYHIN1","ENSG00000163564"
"1032","LPAR3","ENSG00000171517"
"1033","DNALI1","ENSG00000163879"
"1034","THEMIS","ENSG00000172673"
"1035","CAMSAP2","ENSG00000118200"
"1036","SH2D1A","ENSG00000183918"
"1037","RGAG4","ENSG00000242732"
"1038","AKAP7","ENSG00000118507"
"1039","CA1","ENSG00000133742"
"1040","PXDC1","ENSG00000168994"
"1041","MTCL1","ENSG00000168502"
"1042","SYCP2","ENSG00000196074"
"1043","DCAF12","ENSG00000198876"
"1044","CPEB1","ENSG00000214575"
"1045","GIMAP6","ENSG00000133561"
"1046","ZNF730","ENSG00000183850"
"1047","TRIM13","ENSG00000204977"
"1048","GPR114","ENSG00000159618"
"1049","SMAD7","ENSG00000101665"
"1050","LIF","ENSG00000128342"
"1051","EFR3B","ENSG00000084710"
"1052","LRRC3","ENSG00000160233"
"1053","MOCOS","ENSG00000075643"
"1054","PLEKHA7","ENSG00000166689"
"1055","FAM111B","ENSG00000189057"
"1056","HOMER2","ENSG00000103942"
"1057","CEP170B","ENSG00000099814"
"1058","TBC1D8","ENSG00000204634"
"1059","NET1","ENSG00000173848"
"1060","SOCS3","ENSG00000184557"
"1061","NGFRAP1","ENSG00000166681"
"1062","DCHS2","ENSG00000197410"
"1063","ABI3","ENSG00000108798"
"1064","KIF13A","ENSG00000137177"
"1065","IL9R","ENSG00000124334"
"1066","PAG1","ENSG00000076641"
"1067","LRRC25","ENSG00000175489"
"1068","CRYBA4","ENSG00000196431"
"1069","KIAA1377","ENSG00000110318"
"1070","SLAMF7","ENSG00000026751"
"1071","EVA1C","ENSG00000166979"
"1072","RAD51AP2","ENSG00000214842"
"1073","SH2D2A","ENSG00000027869"
"1074","CD7","ENSG00000173762"
"1075","OPLAH","ENSG00000178814"
"1076","BEND7","ENSG00000165626"
"1077","SAMD3","ENSG00000164483"
"1078","MYCBPAP","ENSG00000136449"
"1079","LILRA2","ENSG00000239998"
"1080","ALAS2","ENSG00000158578"
"1081","HBG1","ENSG00000213934"
"1082","NACC2","ENSG00000148411"
"1083","SLCO4C1","ENSG00000173930"
"1084","DHRS3","ENSG00000162496"
"1085","PTPRN2","ENSG00000155093"
"1086","FAM218A","ENSG00000250486"
"1087","ARHGEF4","ENSG00000136002"
"1088","CLIC5","ENSG00000112782"
"1089","LCA5","ENSG00000135338"
"1090","FOS","ENSG00000170345"
"1091","IFIT2","ENSG00000119922"
"1092","TMOD1","ENSG00000136842"
"1093","RUFY4","ENSG00000188282"
"1094","LGMN","ENSG00000100600"
"1095","CCDC155","ENSG00000161609"
"1096","SYTL2","ENSG00000137501"
"1097","POU3F1","ENSG00000185668"
"1098","CXCL3","ENSG00000163734"
"1099","HID1","ENSG00000167861"
"1100","ANK3","ENSG00000151150"
"1101","GRAMD1C","ENSG00000178075"
"1102","APBA2","ENSG00000034053"
"1103","KLF10","ENSG00000155090"
"1104","DBN1","ENSG00000113758"
"1105","ENO4","ENSG00000188316"
"1106","SOX8","ENSG00000005513"
"1107","PCDHGA9","ENSG00000261934"
"1108","GFI1","ENSG00000162676"
"1109","PLAC8","ENSG00000145287"
"1110","VANGL1","ENSG00000173218"
"1111","MOCS1","ENSG00000124615"
"1112","SCN3B","ENSG00000166257"
"1113","ICAM5","ENSG00000105376"
"1114","FAM43A","ENSG00000185112"
"1115","NFE2","ENSG00000123405"
"1116","DOK2","ENSG00000147443"
"1117","CX3CR1","ENSG00000168329"
"1118","FAAH2","ENSG00000165591"
"1119","P2RY13","ENSG00000181631"
"1120","DUSP15","ENSG00000149599"
"1121","MPST","ENSG00000128309"
"1122","EGR3","ENSG00000179388"
"1123","ACE","ENSG00000159640"
"1124","MYO1D","ENSG00000176658"
"1125","TENM4","ENSG00000149256"
"1126","ERCC6L","ENSG00000186871"
"1127","CD3G","ENSG00000160654"
"1128","FLG","ENSG00000143631"
"1129","TMEM204","ENSG00000131634"
"1130","RXRA","ENSG00000186350"
"1131","C11orf63","ENSG00000109944"
"1132","TC2N","ENSG00000165929"
"1133","IGFBP3","ENSG00000146674"
"1134","IFITM3","ENSG00000142089"
"1135","SLCO3A1","ENSG00000176463"
"1136","MLC1","ENSG00000100427"
"1137","CRB3","ENSG00000130545"
"1138","SYT11","ENSG00000132718"
"1139","TUBB2B","ENSG00000137285"
"1140","INPP4B","ENSG00000109452"
"1141","CD248","ENSG00000174807"
"1142","TMPRSS4","ENSG00000137648"
"1143","JAKMIP1","ENSG00000152969"
"1144","MAP1A","ENSG00000166963"
"1145","HOPX","ENSG00000171476"
"1146","ENPP7","ENSG00000182156"
"1147","SYNJ2","ENSG00000078269"
"1148","CDK18","ENSG00000117266"
"1149","SLC35G2","ENSG00000168917"
"1150","KRT1","ENSG00000167768"
"1151","ATP9A","ENSG00000054793"
"1152","WNK3","ENSG00000196632"
"1153","HRNR","ENSG00000197915"
"1154","ZNF558","ENSG00000167785"
"1155","UBASH3A","ENSG00000160185"
"1156","FAM83H","ENSG00000180921"
"1157","FHDC1","ENSG00000137460"
"1158","TRAT1","ENSG00000163519"
"1159","CACNA1B","ENSG00000148408"
"1160","GPR157","ENSG00000180758"
"1161","GCK","ENSG00000106633"
"1162","HES4","ENSG00000188290"
"1163","FLT4","ENSG00000037280"
"1164","CPM","ENSG00000135678"
"1165","VWA5A","ENSG00000110002"
"1166","L1CAM","ENSG00000198910"
"1167","MEFV","ENSG00000103313"
"1168","ACTN1","ENSG00000072110"
"1169","PLXNB2","ENSG00000196576"
"1170","CACNA1I","ENSG00000100346"
"1171","PHOSPHO1","ENSG00000173868"
"1172","SATB1","ENSG00000182568"
"1173","EPB41L4A","ENSG00000129595"
"1174","PCDHGB4","ENSG00000253953"
"1175","RHOD","ENSG00000173156"
"1176","OXER1","ENSG00000162881"
"1177","NEDD4L","ENSG00000049759"
"1178","MLLT4","ENSG00000130396"
"1179","BTBD11","ENSG00000151136"
"1180","F13A1","ENSG00000124491"
"1181","ZBTB47","ENSG00000114853"
"1182","RAB3A","ENSG00000105649"
"1183","CNKSR3","ENSG00000153721"
"1184","RYR1","ENSG00000196218"
"1185","MYO15B","ENSG00000266714"
"1186","GZMK","ENSG00000113088"
"1187","TMEM244","ENSG00000203756"
"1188","HIST1H2BJ","ENSG00000124635"
"1189","RPH3AL","ENSG00000181031"
"1190","CIART","ENSG00000159208"
"1191","RNASE1","ENSG00000129538"
"1192","GPR55","ENSG00000135898"
"1193","NBPF4","ENSG00000196427"
"1194","RELL1","ENSG00000181826"
"1195","PVRL1","ENSG00000110400"
"1196","MOB3B","ENSG00000120162"
"1197","ATP10A","ENSG00000206190"
"1198","MYOF","ENSG00000138119"
"1199","CXCL1","ENSG00000163739"
"1200","RIN2","ENSG00000132669"
"1201","THBS2","ENSG00000186340"
"1202","NPHS1","ENSG00000161270"
"1203","EPB41L3","ENSG00000082397"
"1204","TNFSF8","ENSG00000106952"
"1205","MFSD7","ENSG00000169026"
"1206","DYSF","ENSG00000135636"
"1207","OR52N2","ENSG00000180988"
"1208","AEBP1","ENSG00000106624"
"1209","MICAL2","ENSG00000133816"
"1210","AMOT","ENSG00000126016"
"1211","TCL1A","ENSG00000100721"
"1212","CLEC12A","ENSG00000172322"
"1213","ITGA5","ENSG00000161638"
"1214","RAB31","ENSG00000168461"
"1215","PDE3B","ENSG00000152270"
"1216","CMKLR1","ENSG00000174600"
"1217","CYB5A","ENSG00000166347"
"1218","CTSW","ENSG00000172543"
"1219","TENM1","ENSG00000009694"
"1220","SLC16A14","ENSG00000163053"
"1221","TMEM200A","ENSG00000164484"
"1222","FOXP2","ENSG00000128573"
"1223","GPA33","ENSG00000143167"
"1224","CDHR3","ENSG00000128536"
"1225","RAB27B","ENSG00000041353"
"1226","LRFN3","ENSG00000126243"
"1227","KIAA1549","ENSG00000122778"
"1228","SYNM","ENSG00000182253"
"1229","CDA","ENSG00000158825"
"1230","SLC7A8","ENSG00000092068"
"1231","MAATS1","ENSG00000183833"
"1232","FAM153A","ENSG00000170074"
"1233","PROK2","ENSG00000163421"
"1234","NPIPA5","ENSG00000183793"
"1235","SEPP1","ENSG00000250722"
"1236","RTP5","ENSG00000188011"
"1237","GSDMA","ENSG00000167914"
"1238","MYCN","ENSG00000134323"
"1239","MTUS1","ENSG00000129422"
"1240","NBPF6","ENSG00000186086"
"1241","MAP3K8","ENSG00000107968"
"1242","FUT3","ENSG00000171124"
"1243","ZNF331","ENSG00000130844"
"1244","WDFY3","ENSG00000163625"
"1245","FCRL4","ENSG00000163518"
"1246","HIST1H2BC","ENSG00000180596"
"1247","IFNG","ENSG00000111537"
"1248","P3H3","ENSG00000110811"
"1249","DMXL2","ENSG00000104093"
"1250","BAIAP3","ENSG00000007516"
"1251","PRCD","ENSG00000214140"
"1252","SPTA1","ENSG00000163554"
"1253","CTH","ENSG00000116761"
"1254","CRIP3","ENSG00000146215"
"1255","LPIN1","ENSG00000134324"
"1256","VEGFA","ENSG00000112715"
"1257","SCD5","ENSG00000145284"
"1258","ADAMTSL3","ENSG00000156218"
"1259","LGALS3","ENSG00000131981"
"1260","TMEM198","ENSG00000188760"
"1261","SERPINE1","ENSG00000106366"
"1262","PKD2","ENSG00000118762"
"1263","UTS2R","ENSG00000181408"
"1264","CDYL2","ENSG00000166446"
"1265","DEFA3","ENSG00000239839"
"1266","FNBP1L","ENSG00000137942"
"1267","TULP2","ENSG00000104804"
"1268","CTSL","ENSG00000135047"
"1269","AMIGO1","ENSG00000181754"
"1270","ZNF645","ENSG00000175809"
"1271","TIAM1","ENSG00000156299"
"1272","SIRPB2","ENSG00000196209"
"1273","GLT1D1","ENSG00000151948"
"1274","ARL4D","ENSG00000175906"
"1275","PLEKHG4","ENSG00000196155"
"1276","MAGED4","ENSG00000154545"
"1277","FCGR2A","ENSG00000143226"
"1278","MIOX","ENSG00000100253"
"1279","CRACR2B","ENSG00000177685"
"1280","SLC12A1","ENSG00000074803"
"1281","MAGED4B","ENSG00000187243"
"1282","ZNF354C","ENSG00000177932"
"1283","SIRPG","ENSG00000089012"
"1284","RSAD2","ENSG00000134321"
"1285","FAM50B","ENSG00000145945"
"1286","NRARP","ENSG00000198435"
"1287","DHRS9","ENSG00000073737"
"1288","FFAR1","ENSG00000126266"
"1289","OR13A1","ENSG00000256574"
"1290","TNFRSF18","ENSG00000186891"
"1291","SOX13","ENSG00000143842"
"1292","ENPP5","ENSG00000112796"
"1293","MOK","ENSG00000080823"
"1294","UBASH3B","ENSG00000154127"
"1295","HS3ST1","ENSG00000002587"
"1296","KLHDC8B","ENSG00000185909"
"1297","PRRX1","ENSG00000116132"
"1298","MFHAS1","ENSG00000147324"
"1299","RPRML","ENSG00000179673"
"1300","TTC16","ENSG00000167094"
"1301","CD86","ENSG00000114013"
"1302","IKZF2","ENSG00000030419"
"1303","PTGIR","ENSG00000160013"
"1304","SPRED2","ENSG00000198369"
"1305","TLR8","ENSG00000101916"
"1306","FABP5","ENSG00000164687"
"1307","F2R","ENSG00000181104"
"1308","TNS1","ENSG00000079308"
"1309","ULBP2","ENSG00000131015"
"1310","PCNXL2","ENSG00000135749"
"1311","LPCAT2","ENSG00000087253"
"1312","PDE2A","ENSG00000186642"
"1313","TMEM173","ENSG00000184584"
"1314","KCNN3","ENSG00000143603"
"1315","HPCAL4","ENSG00000116983"
"1316","CAMP","ENSG00000164047"
"1317","SLCO4A1","ENSG00000101187"
"1318","MAML3","ENSG00000196782"
"1319","LRRC66","ENSG00000188993"
"1320","BEX4","ENSG00000102409"
"1321","SLC12A3","ENSG00000070915"
"1322","PI16","ENSG00000164530"
"1323","RBMS2","ENSG00000076067"
"1324","PTK7","ENSG00000112655"
"1325","CYP2J2","ENSG00000134716"
"1326","LDOC1L","ENSG00000188636"
"1327","PLXDC1","ENSG00000161381"
"1328","MSC","ENSG00000178860"
"1329","CMPK2","ENSG00000134326"
"1330","VSNL1","ENSG00000163032"
"1331","FMO1","ENSG00000010932"
"1332","C3orf52","ENSG00000114529"
"1333","LDLR","ENSG00000130164"
"1334","NCR3LG1","ENSG00000188211"
"1335","SLC27A2","ENSG00000140284"
"1336","UBE2E2","ENSG00000182247"
"1337","MYEF2","ENSG00000104177"
"1338","VDR","ENSG00000111424"
"1339","GPRC5C","ENSG00000170412"
"1340","CLU","ENSG00000120885"
"1341","FAM177B","ENSG00000197520"
"1342","PCDHGA10","ENSG00000253846"
"1343","LILRA1","ENSG00000104974"
"1344","NPBWR2","ENSG00000125522"
"1345","LMO2","ENSG00000135363"
"1346","PPP2R2C","ENSG00000074211"
"1347","PDE6G","ENSG00000185527"
"1348","CHAD","ENSG00000136457"
"1349","HIF1A","ENSG00000100644"
"1350","C19orf45","ENSG00000198723"
"1351","HS3ST3B1","ENSG00000125430"
"1352","HIST2H2BF","ENSG00000203814"
"1353","ASB13","ENSG00000196372"
"1354","LCN2","ENSG00000148346"
"1355","NCALD","ENSG00000104490"
"1356","HIST1H2AC","ENSG00000180573"
"1357","ZP3","ENSG00000188372"
"1358","SLC8A1","ENSG00000183023"
"1359","LIMA1","ENSG00000050405"
"1360","ADRB1","ENSG00000043591"
"1361","REPS2","ENSG00000169891"
"1362","FES","ENSG00000182511"
"1363","GBP4","ENSG00000162654"
"1364","USP2","ENSG00000036672"
"1365","FAM101B","ENSG00000183688"
"1366","FASLG","ENSG00000117560"
"1367","TERT","ENSG00000164362"
"1368","ARHGAP10","ENSG00000071205"
"1369","PF4","ENSG00000163737"
"1370","CDH2","ENSG00000170558"
"1371","GCNT1","ENSG00000187210"
"1372","CASP10","ENSG00000003400"
"1373","MAP2","ENSG00000078018"
"1374","HCAR2","ENSG00000182782"
"1375","LRRC16B","ENSG00000186648"
"1376","LCN6","ENSG00000267206"
"1377","DLX2","ENSG00000115844"
"1378","TPM2","ENSG00000198467"
"1379","CYP2C8","ENSG00000138115"
"1380","BASP1","ENSG00000176788"
"1381","KIF19","ENSG00000196169"
"1382","CLIC3","ENSG00000169583"
"1383","KIR3DX1","ENSG00000104970"
"1384","FCGR3B","ENSG00000162747"
"1385","ZNF358","ENSG00000198816"
"1386","RGS12","ENSG00000159788"
"1387","GNGT2","ENSG00000167083"
"1388","USP18","ENSG00000184979"
"1389","CD40LG","ENSG00000102245"
"1390","ZDBF2","ENSG00000204186"
"1391","EGR4","ENSG00000135625"
"1392","PLGLB2","ENSG00000125551"
"1393","ZMIZ1","ENSG00000108175"
"1394","PYGL","ENSG00000100504"
"1395","ETV5","ENSG00000244405"
"1396","SPTB","ENSG00000070182"
"1397","OSCAR","ENSG00000170909"
"1398","PHLDB2","ENSG00000144824"
"1399","SPATA7","ENSG00000042317"
"1400","TUBB4A","ENSG00000104833"
"1401","RHPN2","ENSG00000131941"
"1402","FSIP2","ENSG00000188738"
"1403","SLC16A10","ENSG00000112394"
"1404","PRDM1","ENSG00000057657"
"1405","GNA15","ENSG00000060558"
"1406","IL18R1","ENSG00000115604"
"1407","NLRP11","ENSG00000179873"
"1408","MXRA7","ENSG00000182534"
"1409","FPR2","ENSG00000171049"
"1410","C5AR2","ENSG00000134830"
"1411","SGCB","ENSG00000163069"
"1412","FAM134B","ENSG00000154153"
"1413","COL6A1","ENSG00000142156"
"1414","SLFN11","ENSG00000172716"
"1415","AGAP1","ENSG00000157985"
"1416","STARD4","ENSG00000164211"
"1417","RNASEH2B","ENSG00000136104"
"1418","FKBP10","ENSG00000141756"
"1419","GPER1","ENSG00000164850"
"1420","ISPD","ENSG00000214960"
"1421","COL4A2","ENSG00000134871"
"1422","EPB41L1","ENSG00000088367"
"1423","CHPF","ENSG00000123989"
"1424","CSF2RA","ENSG00000198223"
"1425","SVIL","ENSG00000197321"
"1426","HAAO","ENSG00000162882"
"1427","MTRNR2L12","ENSG00000269028"
"1428","RSPH1","ENSG00000160188"
"1429","TMCC2","ENSG00000133069"
"1430","PDGFRB","ENSG00000113721"
"1431","HOXC4","ENSG00000198353"
"1432","PTPRM","ENSG00000173482"
"1433","PRAME","ENSG00000185686"
"1434","AOAH","ENSG00000136250"
"1435","C14orf132","ENSG00000227051"
"1436","WBSCR27","ENSG00000165171"
"1437","HDC","ENSG00000140287"
"1438","CXorf57","ENSG00000147231"
"1439","POU5F1","ENSG00000204531"
"1440","NUDT7","ENSG00000140876"
"1441","TMEM86A","ENSG00000151117"
"1442","C20orf194","ENSG00000088854"
"1443","MMP9","ENSG00000100985"
"1444","PRR5L","ENSG00000135362"
"1445","PLCH1","ENSG00000114805"
"1446","PCDHGA5","ENSG00000253485"
"1447","KCP","ENSG00000135253"
"1448","ARHGEF33","ENSG00000214694"
"1449","RORA","ENSG00000069667"
"1450","CLEC4M","ENSG00000104938"
"1451","MYBL2","ENSG00000101057"
"1452","IL1R2","ENSG00000115590"
"1453","CSF1R","ENSG00000182578"
"1454","IER5L","ENSG00000188483"
